user_id_str,info,whether_active,user_screen_name
18892333,M,no,Not found
18912992,F,no,Not found
18933348,F,no,Not found
1894226707,M,no,Not found
1894314398,M,no,Not found
1895193422,M,no,Not found
189757474,M,no,Not found
1898668249,M,no,Not found
18990027,F,no,Not found
18990229,M,no,Not found
189968838,M,no,Not found
189975748,F,no,Not found
190020863,M,no,Not found
19016723,M,no,Not found
19022627,F,no,Not found
19026070,M,no,Not found
1904855725,F,no,Not found
190543244,F,no,Not found
190570700,F,no,Not found
19059957,F,no,Not found
19064035,M,no,Not found
190760270,M,no,Not found
1908777942,F,no,Not found
191023805,F,no,Not found
191183707,F,no,Not found
1912262491,F,no,Not found
1914166975,M,no,Not found
1914640352,F,no,Not found
19157202,F,no,Not found
19159242,F,no,Not found
1916791734,M,no,Not found
19169076,M,no,Not found
191715267,F,no,Not found
19181844,M,no,Not found
19183252,M,no,Not found
191873398,M,no,Not found
191904310,F,no,Not found
1919676506,M,no,Not found
192038647,M,no,Not found
19211774,M,no,Not found
19227346,M,no,Not found
19230970,F,no,Not found
19236015,F,no,Not found
1923986118,F,no,Not found
1924142779,F,no,Not found
19241818,F,no,Not found
192548875,F,no,Not found
192716218,M,no,Not found
19273402,M,no,Not found
192924183,M,no,Not found
192927713,M,no,Not found
19303702,M,no,Not found
193060294,M,no,Not found
19315352,F,no,Not found
193235019,F,no,Not found
1935401510,M,no,Not found
19383954,M,no,Not found
19412382,F,no,Not found
19416518,M,no,Not found
1942005980,M,no,Not found
19422030,F,no,Not found
194235018,F,no,Not found
19427976,F,no,Not found
19440322,M,no,Not found
194456264,M,no,Not found
